Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)	Density_edited(Kg/m3)
362	336	-32.82538986	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.65864182	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.49188995	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.32513428	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.15838242	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.99163055	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.82487488	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.65812492	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.49137306	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.3246212	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.15786743	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.99111557	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.82436371	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.65760994	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.49085617	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.32410431	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.15735245	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.99060059	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.82384682	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.65709305	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.49034309	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.32358932	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.15683746	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.99008369	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.82333374	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.65657997	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.4898262	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.32307434	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-28.15632057	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.98957062	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.82281685	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.65606308	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.48931122	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.32255936	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-27.1558075	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.98905373	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.82230186	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.65555	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.48879814	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.32204437	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-26.1552906	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.98853874	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.82178688	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.65503311	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.48828125	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.32152748	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-25.15477753	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.98802376	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.8212719	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.65451813	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.48776627	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.3210144	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-24.15426064	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
