Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
722	848	-33.13335419	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.9676857	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.80202103	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.63635254	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.47068405	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.30501556	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-32.13935471	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.97368622	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.80801773	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.64235115	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.47668457	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.31101608	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-31.14535141	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.97968483	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.81401825	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.64834976	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.48268509	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.31701851	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-30.15135002	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.98568344	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.82001686	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.65435028	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.48868179	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.32301712	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-29.15735054	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.99168205	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.82601738	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.66034889	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.49468231	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.32901573	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-28.16334915	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.99768448	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.83201599	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.66634941	1e30	1e30	1e30	1e30	1e30	1e30	1e30
722	848	-27.50068092	1e30	1e30	1e30	1e30	1e30	1e30	1e30
