Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Meter/second x Kg/m3)	P_Impedance(Meter/second x Kg/m3)	Porosity(Fraction)	Gamma_Ray(API)	Sonic(Microseconds/meter)	Density(Kg/m3)
362	336	-32.82538986	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.66126633	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.49713898	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.33301163	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.16888428	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-32.00475693	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.84062958	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.67650414	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.51237679	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.34825134	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.18412399	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-31.02	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.85586739	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.69174194	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.52761459	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.36348915	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.19935989	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-30.03523254	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.8711071	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.70698166	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.54285431	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.37872696	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.2145977	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-29.05047226	1e30	1e30	1e30	1e30	1e30	1e30	1e30
