Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	-36.28989792	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-36.13026428	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.97063065	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.811	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.65136337	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.49172974	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.3321	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.17246628	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-35.01283264	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.85320282	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.69356537	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.53393173	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.37430191	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.21466827	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-34.05503464	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.89540482	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.73577118	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.57613373	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.41650391	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.25687027	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-33.09723663	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.93760681	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.77797318	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.61833954	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.45870209	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.29907227	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-32.13943863	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.9798069	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.82017517	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.66054153	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.50090599	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.34127426	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.18164063	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-31.0220089	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.86237335	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.70274162	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.54310989	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.38347626	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.22384262	1e30	1e30	1e30	1e30	1e30	1e30	1e30
442	1007	-30.06421089	1e30	1e30	1e30	1e30	1e30	1e30	1e30
